THETA2,MCF_x,MCF_y,IFP_x,IFP_y,IFD_x,IFD_y,PF_x,PF_y,D3_x,D3_y,Pa_x,Pa_y,P3_x,P3_y,THETAfp,THETAfm,THETAfd
0.000,-9.0000,-20.0000,-57.9971,-20.5341,-83.1204,-27.2287,-97.3284,-46.5712,-72.7159,6.1890,-70.0182,-18.6650,-94.9973,6.8137,180.624,194.921,233.701
1.000,-9.0000,-20.0000,-57.9935,-20.7953,-83.0727,-27.6535,-97.1350,-47.1023,-72.9196,5.8414,-70.0244,-18.9904,-95.1712,6.3108,180.930,195.294,234.131
2.000,-9.0000,-20.0000,-57.9886,-21.0577,-83.0222,-28.0805,-96.9366,-47.6352,-73.1233,5.4905,-70.0290,-19.3172,-95.3434,5.8037,181.237,195.671,234.566
3.000,-9.0000,-20.0000,-57.9822,-21.3213,-82.9688,-28.5095,-96.7331,-48.1702,-73.3271,5.1363,-70.0317,-19.6456,-95.5139,5.2924,181.545,196.050,235.004
4.000,-9.0000,-20.0000,-57.9743,-21.5859,-82.9124,-28.9406,-96.5245,-48.7070,-73.5310,4.7787,-70.0328,-19.9753,-95.6827,4.7770,181.855,196.432,235.447
5.000,-9.0000,-20.0000,-57.9650,-21.8516,-82.8531,-29.3737,-96.3106,-49.2457,-73.7350,4.4177,-70.0320,-20.3065,-95.8497,4.2572,182.166,196.817,235.894
6.000,-9.0000,-20.0000,-57.9542,-22.1185,-82.7908,-29.8089,-96.0913,-49.7863,-73.9391,4.0533,-70.0294,-20.6391,-96.0148,3.7332,182.478,197.205,236.345
7.000,-9.0000,-20.0000,-57.9419,-22.3864,-82.7254,-30.2462,-95.8665,-50.3288,-74.1433,3.6853,-70.0250,-20.9731,-96.1781,3.2049,182.791,197.596,236.801
8.000,-9.0000,-20.0000,-57.9280,-22.6553,-82.6568,-30.6855,-95.6362,-50.8731,-74.3477,3.3138,-70.0187,-21.3085,-96.3395,2.6721,183.106,197.990,237.261
9.000,-9.0000,-20.0000,-57.9126,-22.9253,-82.5851,-31.1269,-95.4002,-51.4191,-74.5522,2.9388,-70.0106,-21.6452,-96.4989,2.1350,183.423,198.388,237.726
10.000,-9.0000,-20.0000,-57.8956,-23.1963,-82.5102,-31.5703,-95.1585,-51.9669,-74.7568,2.5601,-70.0005,-21.9833,-96.6563,1.5934,183.740,198.789,238.196
11.000,-9.0000,-20.0000,-57.8771,-23.4683,-82.4320,-32.0158,-94.9109,-52.5164,-74.9615,2.1777,-69.9886,-22.3227,-96.8117,1.0474,184.059,199.193,238.671
12.000,-9.0000,-20.0000,-57.8570,-23.7413,-82.3504,-32.4632,-94.6573,-53.0676,-75.1664,1.7916,-69.9746,-22.6634,-96.9649,0.4968,184.379,199.600,239.150
13.000,-9.0000,-20.0000,-57.8352,-24.0153,-82.2654,-32.9127,-94.3977,-53.6204,-75.3715,1.4016,-69.9587,-23.0054,-97.1160,-0.0583,184.700,200.011,239.635
14.000,-9.0000,-20.0000,-57.8118,-24.2903,-82.1771,-33.3641,-94.1318,-54.1748,-75.5766,1.0079,-69.9408,-23.3486,-97.2649,-0.6180,185.023,200.426,240.125
15.000,-9.0000,-20.0000,-57.7868,-24.5662,-82.0852,-33.8175,-93.8597,-54.7307,-75.7819,0.6102,-69.9209,-23.6931,-97.4115,-1.1824,185.347,200.844,240.620
16.000,-9.0000,-20.0000,-57.7601,-24.8430,-81.9897,-34.2729,-93.5813,-55.2881,-75.9873,0.2085,-69.8990,-24.0388,-97.5558,-1.7515,185.672,201.266,241.120
17.000,-9.0000,-20.0000,-57.7317,-25.1207,-81.8907,-34.7302,-93.2963,-55.8469,-76.1928,-0.1972,-69.8750,-24.3857,-97.6978,-2.3252,185.999,201.691,241.625
18.000,-9.0000,-20.0000,-57.7016,-25.3993,-81.7880,-35.1895,-93.0047,-56.4070,-76.3984,-0.6069,-69.8489,-24.7338,-97.8372,-2.9037,186.326,202.120,242.137
19.000,-9.0000,-20.0000,-57.6698,-25.6788,-81.6815,-35.6506,-92.7065,-56.9685,-76.6040,-1.0209,-69.8207,-25.0830,-97.9742,-3.4870,186.655,202.553,242.653
20.000,-9.0000,-20.0000,-57.6363,-25.9592,-81.5713,-36.1137,-92.4015,-57.5312,-76.8098,-1.4391,-69.7904,-25.4334,-98.1086,-4.0751,186.985,202.989,243.176
21.000,-9.0000,-20.0000,-57.6010,-26.2404,-81.4573,-36.5786,-92.0895,-58.0950,-77.0156,-1.8616,-69.7580,-25.7849,-98.2404,-4.6681,187.317,203.430,243.704
22.000,-9.0000,-20.0000,-57.5640,-26.5224,-81.3393,-37.0454,-91.7706,-58.6599,-77.2214,-2.2884,-69.7234,-26.1376,-98.3694,-5.2660,187.649,203.874,244.238
