traza,s_norm,cad_x,cad_y,cin_x,cin_y,error_arco_mm
IFP,0.0000,-57.9914,-20.5410,-57.9971,-20.5341,0.00889
IFP,0.0050,-57.9878,-20.7527,-57.9942,-20.7458,0.00935
IFP,0.0101,-57.9842,-20.9644,-57.9905,-20.9575,0.00930
IFP,0.0151,-57.9803,-21.1761,-57.9859,-21.1692,0.00884
IFP,0.0201,-57.9740,-21.3877,-57.9804,-21.3809,0.00938
IFP,0.0251,-57.9677,-21.5994,-57.9741,-21.5925,0.00935
IFP,0.0302,-57.9610,-21.8110,-57.9667,-21.8041,0.00889
IFP,0.0352,-57.9520,-22.0225,-57.9584,-22.0157,0.00934
IFP,0.0402,-57.9429,-22.2341,-57.9492,-22.2272,0.00926
IFP,0.0452,-57.9335,-22.4456,-57.9392,-22.4387,0.00891
IFP,0.0503,-57.9217,-22.6570,-57.9283,-22.6502,0.00943
IFP,0.0553,-57.9100,-22.8684,-57.9162,-22.8616,0.00926
IFP,0.0603,-57.8978,-23.0798,-57.9033,-23.0729,0.00882
IFP,0.0653,-57.8833,-23.2910,-57.8896,-23.2842,0.00930
IFP,0.0704,-57.8687,-23.5023,-57.8751,-23.4955,0.00930
IFP,0.0754,-57.8539,-23.7135,-57.8596,-23.7066,0.00887
IFP,0.0804,-57.8366,-23.9245,-57.8430,-23.9177,0.00930
IFP,0.0854,-57.8193,-24.1355,-57.8255,-24.1288,0.00923
IFP,0.0905,-57.8019,-24.3466,-57.8073,-24.3397,0.00877
IFP,0.0955,-57.7818,-24.5573,-57.7882,-24.5506,0.00936
IFP,0.1005,-57.7616,-24.7681,-57.7680,-24.7613,0.00928
IFP,0.1055,-57.7415,-24.9789,-57.7469,-24.9720,0.00872
IFP,0.1106,-57.7187,-25.1894,-57.7250,-25.1826,0.00924
IFP,0.1156,-57.6958,-25.3999,-57.7023,-25.3932,0.00936
IFP,0.1206,-57.6728,-25.6104,-57.6784,-25.6035,0.00880
IFP,0.1256,-57.6475,-25.8206,-57.6537,-25.8138,0.00914
IFP,0.1307,-57.6217,-26.0308,-57.6282,-26.0240,0.00931
IFP,0.1357,-57.5959,-26.2409,-57.6018,-26.2341,0.00897
IFP,0.1407,-57.5682,-26.4508,-57.5743,-26.4441,0.00910
IFP,0.1457,-57.5395,-26.6606,-57.5459,-26.6539,0.00927
IFP,0.1508,-57.5109,-26.8704,-57.5168,-26.8636,0.00899
IFP,0.1558,-57.4808,-27.0800,-57.4867,-27.0732,0.00904
IFP,0.1608,-57.4492,-27.2894,-57.4556,-27.2826,0.00927
IFP,0.1658,-57.4177,-27.4987,-57.4237,-27.4920,0.00905
IFP,0.1709,-57.3852,-27.7080,-57.3909,-27.7011,0.00887
IFP,0.1759,-57.3508,-27.9169,-57.3572,-27.9102,0.00927
IFP,0.1809,-57.3163,-28.1258,-57.3225,-28.1191,0.00913
IFP,0.1859,-57.2816,-28.3347,-57.2869,-28.3278,0.00868
IFP,0.1910,-57.2443,-28.5431,-57.2506,-28.5364,0.00921
IFP,0.1960,-57.2069,-28.7515,-57.2132,-28.7448,0.00920
IFP,0.2010,-57.1695,-28.9599,-57.1749,-28.9530,0.00872
IFP,0.2060,-57.1297,-29.1679,-57.1358,-29.1611,0.00907
IFP,0.2111,-57.0894,-29.3757,-57.0959,-29.3691,0.00930
IFP,0.2161,-57.0491,-29.5836,-57.0548,-29.5768,0.00888
IFP,0.2211,-57.0072,-29.7911,-57.0129,-29.7844,0.00889
IFP,0.2261,-56.9639,-29.9984,-56.9703,-29.9918,0.00924
IFP,0.2312,-56.9206,-30.2057,-56.9267,-30.1990,0.00904
IFP,0.2362,-56.8767,-30.4128,-56.8821,-30.4059,0.00873
IFP,0.2412,-56.8304,-30.6194,-56.8368,-30.6128,0.00917
IFP,0.2462,-56.7842,-30.8260,-56.7905,-30.8194,0.00919
IFP,0.2513,-56.7379,-31.0327,-56.7432,-31.0258,0.00866
IFP,0.2563,-56.6890,-31.2387,-56.6951,-31.2320,0.00904
IFP,0.2613,-56.6398,-31.4446,-56.6463,-31.4380,0.00925
IFP,0.2663,-56.5906,-31.6505,-56.5963,-31.6438,0.00887
IFP,0.2714,-56.5397,-31.8561,-56.5455,-31.8493,0.00887
IFP,0.2764,-56.4875,-32.0613,-56.4939,-32.0547,0.00918
IFP,0.2814,-56.4353,-32.2665,-56.4414,-32.2598,0.00902
IFP,0.2864,-56.3826,-32.4716,-56.3879,-32.4647,0.00865
IFP,0.2915,-56.3274,-32.6760,-56.3336,-32.6693,0.00909
IFP,0.2965,-56.2722,-32.8804,-56.2786,-32.8738,0.00916
IFP,0.3015,-56.2170,-33.0848,-56.2223,-33.0779,0.00870
IFP,0.3065,-56.1595,-33.2886,-56.1654,-33.2819,0.00893
IFP,0.3116,-56.1012,-33.4921,-56.1077,-33.4856,0.00920
IFP,0.3166,-56.0430,-33.6957,-56.0488,-33.6890,0.00890
IFP,0.3216,-55.9838,-33.8990,-55.9892,-33.8922,0.00874
IFP,0.3266,-55.9225,-34.1017,-55.9289,-34.0951,0.00915
IFP,0.3317,-55.8613,-34.3044,-55.8675,-34.2977,0.00904
IFP,0.3367,-55.8000,-34.5070,-55.8052,-34.5001,0.00862
IFP,0.3417,-55.7361,-34.7089,-55.7422,-34.7023,0.00900
IFP,0.3467,-55.6719,-34.9106,-55.6782,-34.9041,0.00910
IFP,0.3518,-55.6076,-35.1124,-55.6133,-35.1056,0.00882
IFP,0.3568,-55.5421,-35.3137,-55.5477,-35.3070,0.00878
IFP,0.3618,-55.4748,-35.5145,-55.4811,-35.5079,0.00906
IFP,0.3668,-55.4075,-35.7153,-55.4135,-35.7086,0.00895
IFP,0.3719,-55.3402,-35.9160,-55.3453,-35.9091,0.00862
IFP,0.3769,-55.2701,-36.1158,-55.2762,-36.1092,0.00895
IFP,0.3819,-55.1998,-36.3155,-55.2060,-36.3090,0.00902
IFP,0.3869,-55.1295,-36.5152,-55.1352,-36.5085,0.00882
IFP,0.3920,-55.0579,-36.7145,-55.0634,-36.7077,0.00873
IFP,0.3970,-54.9845,-36.9131,-54.9907,-36.9066,0.00898
IFP,0.4020,-54.9112,-37.1118,-54.9173,-37.1052,0.00899
IFP,0.4070,-54.8378,-37.3104,-54.8430,-37.3035,0.00863
IFP,0.4121,-54.7618,-37.5080,-54.7677,-37.5014,0.00885
IFP,0.4171,-54.6854,-37.7055,-54.6917,-37.6990,0.00903
IFP,0.4221,-54.6090,-37.9030,-54.6148,-37.8963,0.00882
IFP,0.4271,-54.5317,-38.1001,-54.5369,-38.0932,0.00864
IFP,0.4322,-54.4523,-38.2963,-54.4584,-38.2898,0.00895
IFP,0.4372,-54.3728,-38.4926,-54.3790,-38.4861,0.00895
